Num_Acc,jour,mois,an,hrmn,lum,dep,com,agg,int,atm,col,adr,lat,long,gps,com_insee_temp,com_insee,departmentName,regionCode,regionName,vma,catr,circ,nbv,surf,Code,Region,Departement,Arrondissement,Code_Canton,Nom_Commune,Population_municipaLe,Population_comptee_a_part,Population_Totale
202300000110,28,3,2023,16:30,1,76.0,76231,2,2,1.0,6.0,Rue Théodore Chennevière,"49,28606000","1,00347000",,76.076231,76231,Seine-Maritime,28.0,Normandie,50.0,4.0,2.0,2,1.0,28,Normandie,76,3,9,Elbeuf,15951,138,16089.0
202300000214,25,3,2023,13:45,1,76.0,76351,2,1,1.0,3.0,PAUL VERLAINE (AVENUE),"49,50910000","0,15690000",,76.076351,76351,Seine-Maritime,28.0,Normandie,50.0,4.0,2.0,2,2.0,28,Normandie,76,2,96,LeHavre,166058,1780,167838.0
202300000267,29,11,2023,13:15,1,76.0,76575,2,1,8.0,-1.0,Rue Paul Eluard,"49,39615000","1,09471000",,76.076575,76575,Seine-Maritime,28.0,Normandie,30.0,4.0,2.0,2,9.0,28,Normandie,76,3,98,Saint-Étienne-du-Rouvray,28508,225,28733.0
202300000269,28,11,2023,13:00,1,76.0,76351,2,2,1.0,6.0,RENE COTY,"49,49754000","0,11561000",,76.076351,76351,Seine-Maritime,28.0,Normandie,50.0,4.0,2.0,1,1.0,28,Normandie,76,2,96,LeHavre,166058,1780,167838.0
202300000271,28,11,2023,23:35,5,76.0,76351,2,1,2.0,6.0,Rue Commandant Abadie,"49,50123000","0,17188000",,76.076351,76351,Seine-Maritime,28.0,Normandie,50.0,4.0,2.0,2,2.0,28,Normandie,76,2,96,LeHavre,166058,1780,167838.0
202300000274,26,11,2023,17:35,5,76.0,76114,2,3,1.0,6.0,VERLAINE PAUL (RUE),"49,56555000","0,47835000",,76.076114,76114,Seine-Maritime,28.0,Normandie,50.0,4.0,-1.0,1,1.0,28,Normandie,76,2,3,Bolbec,11635,147,11782.0
202300000420,9,6,2023,07:55,1,76.0,76351,2,3,1.0,6.0,FERNAND CHATEL,"49,51960000","0,11003000",,76.076351,76351,Seine-Maritime,28.0,Normandie,50.0,4.0,2.0,2,1.0,28,Normandie,76,2,96,LeHavre,166058,1780,167838.0
202300000469,9,6,2023,12:10,1,76.0,76540,2,3,9.0,1.0,Avenue de Grammont,"49,42704000","1,09606000",,76.076540,76540,Seine-Maritime,28.0,Normandie,30.0,4.0,2.0,2,1.0,28,Normandie,76,3,97,Rouen,114083,1556,115639.0
202300000470,9,6,2023,06:35,1,76.0,76341,2,4,1.0,6.0,RD 6015,"49,51058000","0,19927000",,76.076341,76341,Seine-Maritime,28.0,Normandie,50.0,3.0,1.0,2,1.0,28,Normandie,76,2,15,Harfleur,8315,53,8368.0
202300000471,8,6,2023,14:20,1,76.0,76447,2,1,1.0,6.0,FONTAINE LA MALLET (DE),"49,54366000","0,15046000",,76.076447,76447,Seine-Maritime,28.0,Normandie,80.0,3.0,2.0,2,1.0,28,Normandie,76,2,15,Montivilliers,15457,203,15660.0
202300000518,26,10,2023,10:30,1,76.0,76540,2,2,2.0,3.0,Place Saint Paul,"49,43483000","1,10583000",,76.076540,76540,Seine-Maritime,28.0,Normandie,50.0,7.0,1.0,4,2.0,28,Normandie,76,3,97,Rouen,114083,1556,115639.0
202300000519,26,10,2023,02:00,5,76.0,76351,2,6,1.0,7.0,MICHEL FERE (QUAI),"49,48925000","0,11118000",,76.076351,76351,Seine-Maritime,28.0,Normandie,50.0,4.0,-1.0,1,1.0,28,Normandie,76,2,96,LeHavre,166058,1780,167838.0
202300000539,23,9,2023,07:55,1,76.0,76341,2,9,1.0,6.0,RESISTANCE (AVENUE DE LA),"49,50484000","0,19988300",,76.076341,76341,Seine-Maritime,28.0,Normandie,50.0,3.0,2.0,2,1.0,28,Normandie,76,2,15,Harfleur,8315,53,8368.0
202300000830,29,11,2023,17:30,3,76.0,76177,1,1,2.0,1.0,D6,"49,59961300","1,17055900",,76.076177,76177,Seine-Maritime,28.0,Normandie,80.0,3.0,2.0,2,2.0,28,Normandie,76,3,2,Claville-MottevilLe267,6,273,
202300000831,7,5,2023,17:50,1,76.0,76678,1,1,1.0,1.0,D915,"49,63607800","1,45010900",,76.076678,76678,Seine-Maritime,28.0,Normandie,80.0,3.0,2.0,2,2.0,28,Normandie,76,1,23,Sommery,834,10,844.0
202300000899,27,3,2023,10:50,1,76.0,76517,1,2,1.0,3.0,Route d?Houppeville - Route de Crève coeur,"49,52217900","1,13623200",,76.076517,76517,Seine-Maritime,28.0,Normandie,80.0,3.0,2.0,2,1.0,28,Normandie,76,3,2,Quincampoix,3110,68,3178.0
202300000953,30,11,2023,12:30,1,76.0,76164,1,1,1.0,2.0,Avenue du Latham-47,"49,52435900","0,73578400",,76.076164,76164,Seine-Maritime,28.0,Normandie,70.0,3.0,2.0,2,1.0,28,Normandie,76,3,25,Rives-en-Seine,4078,66,4144.0
202300000990,5,5,2023,08:40,1,76.0,76351,2,1,1.0,2.0,STRASBOURG (BD),"49,49271000","0,11769000",,76.076351,76351,Seine-Maritime,28.0,Normandie,30.0,4.0,3.0,4,1.0,28,Normandie,76,2,96,LeHavre,166058,1780,167838.0
202300000994,4,5,2023,23:30,5,76.0,76351,2,1,1.0,2.0,LENINGRAD (BD DE),"49,50004000","0,17146000",,76.076351,76351,Seine-Maritime,28.0,Normandie,50.0,4.0,3.0,4,1.0,28,Normandie,76,2,96,LeHavre,166058,1780,167838.0
202300001064,28,11,2023,08:29,1,76.0,76540,2,2,1.0,6.0,Avenue de la Porte des Champs,"49,44299000","1,10445000",,76.076540,76540,Seine-Maritime,28.0,Normandie,30.0,4.0,2.0,2,1.0,28,Normandie,76,3,97,Rouen,114083,1556,115639.0
202300001069,27,11,2023,13:40,1,76.0,76351,2,2,3.0,3.0,MARECHAL JOFFRE (RUE),"49,49999000","0,12961000",,76.076351,76351,Seine-Maritime,28.0,Normandie,50.0,4.0,2.0,2,2.0,28,Normandie,76,2,96,LeHavre,166058,1780,167838.0
202300001073,27,11,2023,17:00,2,76.0,76351,2,1,3.0,6.0,CLEMENCEAU (BD),"49,49017000","0,09751000",,76.076351,76351,Seine-Maritime,28.0,Normandie,30.0,4.0,2.0,3,2.0,28,Normandie,76,2,96,LeHavre,166058,1780,167838.0
202300001077,27,11,2023,12:15,1,76.0,76351,1,2,2.0,3.0,AMIRAL COURBET,"49,48520000","0,13129000",,76.076351,76351,Seine-Maritime,28.0,Normandie,50.0,4.0,2.0,2,2.0,28,Normandie,76,2,96,LeHavre,166058,1780,167838.0
202300001391,9,6,2023,17:25,1,76.0,76312,2,1,1.0,3.0,42 Avenue du Général Leclerc,"49,48378500","1,72016500",,76.076312,76312,Seine-Maritime,28.0,Normandie,50.0,3.0,2.0,2,1.0,28,Normandie,76,1,12,Gournay-en-Bray,5944,85,6029.0
202300001396,7,6,2023,20:30,1,76.0,76312,2,3,1.0,3.0,Rue de Hailsham,"49,47489700","1,71904900",,76.076312,76312,Seine-Maritime,28.0,Normandie,-1.0,4.0,2.0, -1,1.0,28,Normandie,76,1,12,Gournay-en-Bray,5944,85,6029.0
202300001532,22,12,2023,12:05,1,76.0,76540,2,2,6.0,3.0,EUROPE. BOULEVARD DE L',"49,43236000","1,07875000",,76.076540,76540,Seine-Maritime,28.0,Normandie,50.0,4.0,3.0,4,1.0,28,Normandie,76,3,97,Rouen,114083,1556,115639.0
202300001534,17,12,2023,18:50,5,76.0,76681,2,3,1.0,3.0,RASPAIL. RUE FRANCOIS,"49,41564000","1,09438000",,76.076681,76681,Seine-Maritime,28.0,Normandie,30.0,4.0,2.0,2,1.0,28,Normandie,76,3,99,Sotteville-lès-Rouen,28965,475,29440.0
202300001617,6,6,2023,15:30,1,76.0,76351,2,1,1.0,6.0,RENE CANCE,"49,50373000","0,14793000",,76.076351,76351,Seine-Maritime,28.0,Normandie,50.0,4.0,2.0,2,1.0,28,Normandie,76,2,96,LeHavre,166058,1780,167838.0
202300001925,25,9,2023,14:40,1,76.0,76446,2,1,1.0,3.0,763 Rue du Lieutenant Aubert,"49,45874900","1,00550200",,76.076446,76446,Seine-Maritime,28.0,Normandie,50.0,3.0,2.0,2,1.0,28,Normandie,76,3,24,Montigny,1285,14,1299.0
202300002106,23,8,2023,15:50,1,76.0,76328,1,2,1.0,2.0,D151,"49,65575200","1,17992800",,76.076328,76328,Seine-Maritime,28.0,Normandie,-1.0,3.0,2.0, -1,1.0,28,Normandie,76,3,23,GrigneusevilLe376,5,381,
202300002169,25,11,2023,09:05,2,76.0,76014,1,1,7.0,6.0,D125,"49,59267763","0,26947975",,76.076014,76014,Seine-Maritime,28.0,Normandie,80.0,3.0,2.0,2,1.0,28,Normandie,76,2,26,Angerville-l'Orcher,1394,14,1408.0
202300002172,29,11,2023,06:00,3,76.0,76449,1,3,1.0,3.0,D929,"49,67180400","1,16548400",,76.076449,76449,Seine-Maritime,28.0,Normandie,80.0,3.0,2.0,2,1.0,28,Normandie,76,1,20,Montreuil-en-Caux,493,6,499.0
202300002233,29,11,2023,07:45,3,76.0,76418,1,1,2.0,7.0,D40,"49,54939238","0,68654895",,76.076418,76418,Seine-Maritime,28.0,Normandie,80.0,3.0,2.0,2,2.0,28,Normandie,76,3,25,Maulévrier-Sainte-Gertrude,1035,17,1052.0
202300002320,27,11,2023,08:10,1,76.0,76705,1,6,2.0,6.0,Rue de l'Ile aux Boeufs,"49,32893000","1,10148000",,76.076705,76705,Seine-Maritime,28.0,Normandie,50.0,7.0,2.0,2,2.0,28,Normandie,76,3,5,Tourville-la-Rivière,2568,19,2587.0
202300002322,27,11,2023,10:20,1,76.0,76351,2,1,3.0,4.0,LENINGRAD (BD DE),"49,50003000","0,17078000",,76.076351,76351,Seine-Maritime,28.0,Normandie,50.0,4.0,1.0,2,2.0,28,Normandie,76,2,96,LeHavre,166058,1780,167838.0
202300002323,26,11,2023,04:20,5,76.0,76351,2,1,1.0,7.0,FRISSARD (QUAI),"49,49011000","0,12642000",,76.076351,76351,Seine-Maritime,28.0,Normandie,50.0,4.0,2.0,2,1.0,28,Normandie,76,2,96,LeHavre,166058,1780,167838.0
202300002325,24,11,2023,20:35,5,76.0,76351,2,1,1.0,7.0,GEORGES LAFAURIE (RUE),"49,50095100","0,11268800",,76.076351,76351,Seine-Maritime,28.0,Normandie,50.0,4.0,-1.0,2,1.0,28,Normandie,76,2,96,LeHavre,166058,1780,167838.0
202300002327,26,11,2023,16:30,1,76.0,76447,2,1,1.0,6.0,4 SAISONS (RUE DES ),"49,53626000","0,18567000",,76.076447,76447,Seine-Maritime,28.0,Normandie,30.0,6.0,-1.0, -1,1.0,28,Normandie,76,2,15,Montivilliers,15457,203,15660.0
202300002329,24,11,2023,10:00,1,76.0,76351,2,1,1.0,1.0,BORIS VIAN,"49,51522000","0,16069000",,76.076351,76351,Seine-Maritime,28.0,Normandie,30.0,4.0,2.0,1,1.0,28,Normandie,76,2,96,LeHavre,166058,1780,167838.0
202300002331,27,11,2023,08:00,5,76.0,76026,2,9,2.0,3.0,ARCHELLES,"49,88200200","1,14049400",,76.076026,76026,Seine-Maritime,28.0,Normandie,50.0,4.0,-1.0,1,2.0,28,Normandie,76,1,8,Arques-la-BatailLe2480,44,2524,
202300002555,27,11,2023,18:35,5,76.0,76101,2,1,2.0,6.0,Grande Rue Francois Mitterrand,"49,93210900","1,62829400",,76.076101,76101,Seine-Maritime,28.0,Normandie,50.0,3.0,2.0,2,2.0,28,Normandie,76,1,10,Blangy-sur-BresLe2862,28,2890,
202300002831,7,6,2023,17:30,1,76.0,76517,1,9,1.0,4.0,A28,"49,50470100","1,17755400",,76.076517,76517,Seine-Maritime,28.0,Normandie,110.0,1.0,1.0,2,1.0,28,Normandie,76,3,2,Quincampoix,3110,68,3178.0
202300002854,9,6,2023,14:45,1,76.0,76616,1,1,1.0,3.0,Côte de Gournay,"49,52760400","0,23047700",,76.076616,76616,Seine-Maritime,28.0,Normandie,50.0,4.0,2.0,2,1.0,28,Normandie,76,2,26,Saint-Martin-du-Manoir,1459,34,1493.0
202300002891,7,6,2023,16:45,1,76.0,76197,1,1,1.0,5.0,D149,"49,77940700","1,07611300",,76.076197,76197,Seine-Maritime,28.0,Normandie,80.0,3.0,2.0,2,1.0,28,Normandie,76,1,20,Criquetot-sur-LonguevilLe217,2,219,
202300003282,11,2,2023,06:30,5,76.0,76108,2,2,1.0,3.0,Rue Jeanne d’Arc,"49,45648000","1,12275000",,76.076108,76108,Seine-Maritime,28.0,Normandie,50.0,4.0,2.0,2,1.0,28,Normandie,76,3,2,Bois-Guillaume,14262,361,14623.0
202300003376,22,8,2023,16:30,1,76.0,76482,1,1,1.0,3.0,Route départementale 925,"49,88783564","1,01360750",,76.076482,76482,Seine-Maritime,28.0,Normandie,80.0,3.0,2.0,2,1.0,28,Normandie,76,1,7,OffranvilLe3191,211,3402,
202300003426,24,10,2023,19:00,2,76.0,76212,2,2,1.0,3.0,Boulevard de la Paix,"49,43793000","1,14768000",,76.076212,76212,Seine-Maritime,28.0,Normandie,50.0,2.0,2.0,2,1.0,28,Normandie,76,3,6,Darnétal,9738,74,9812.0
202300003428,22,10,2023,02:30,5,76.0,76351,2,1,1.0,1.0,SUEDE (QUAI DE),"49,49214000","0,13237000",,76.076351,76351,Seine-Maritime,28.0,Normandie,50.0,4.0,-1.0,1,1.0,28,Normandie,76,2,96,LeHavre,166058,1780,167838.0
