dep,Num_Acc,an,regionName,grav
76.0,202300000110,2023,Normandie,4
76.0,202300000110,2023,Normandie,1
76.0,202300000110,2023,Normandie,1
76.0,202300000214,2023,Normandie,4
76.0,202300000214,2023,Normandie,1
76.0,202300000267,2023,Normandie,4
76.0,202300000267,2023,Normandie,4
76.0,202300000269,2023,Normandie,1
76.0,202300000269,2023,Normandie,4
76.0,202300000271,2023,Normandie,4
76.0,202300000271,2023,Normandie,1
76.0,202300000274,2023,Normandie,4
76.0,202300000420,2023,Normandie,1
76.0,202300000420,2023,Normandie,4
76.0,202300000469,2023,Normandie,4
76.0,202300000469,2023,Normandie,1
76.0,202300000470,2023,Normandie,1
76.0,202300000470,2023,Normandie,3
76.0,202300000470,2023,Normandie,2
76.0,202300000471,2023,Normandie,3
76.0,202300000518,2023,Normandie,4
76.0,202300000518,2023,Normandie,1
76.0,202300000519,2023,Normandie,4
76.0,202300000539,2023,Normandie,1
76.0,202300000539,2023,Normandie,4
76.0,202300000830,2023,Normandie,1
76.0,202300000830,2023,Normandie,4
76.0,202300000830,2023,Normandie,1
76.0,202300000831,2023,Normandie,3
76.0,202300000831,2023,Normandie,4
76.0,202300000831,2023,Normandie,4
76.0,202300000831,2023,Normandie,4
76.0,202300000899,2023,Normandie,1
76.0,202300000899,2023,Normandie,4
76.0,202300000953,2023,Normandie,1
76.0,202300000953,2023,Normandie,3
76.0,202300000990,2023,Normandie,1
76.0,202300000990,2023,Normandie,4
76.0,202300000994,2023,Normandie,4
76.0,202300000994,2023,Normandie,1
76.0,202300001064,2023,Normandie,1
76.0,202300001064,2023,Normandie,3
76.0,202300001069,2023,Normandie,4
76.0,202300001069,2023,Normandie,1
76.0,202300001073,2023,Normandie,1
76.0,202300001073,2023,Normandie,4
76.0,202300001077,2023,Normandie,4
76.0,202300001077,2023,Normandie,4
76.0,202300001391,2023,Normandie,4
76.0,202300001391,2023,Normandie,1
76.0,202300001396,2023,Normandie,4
76.0,202300001396,2023,Normandie,1
76.0,202300001532,2023,Normandie,1
76.0,202300001532,2023,Normandie,4
76.0,202300001534,2023,Normandie,4
76.0,202300001534,2023,Normandie,1
76.0,202300001617,2023,Normandie,1
76.0,202300001617,2023,Normandie,4
76.0,202300001925,2023,Normandie,1
76.0,202300001925,2023,Normandie,3
76.0,202300002106,2023,Normandie,3
76.0,202300002106,2023,Normandie,1
76.0,202300002169,2023,Normandie,1
76.0,202300002169,2023,Normandie,4
76.0,202300002172,2023,Normandie,1
76.0,202300002172,2023,Normandie,3
76.0,202300002233,2023,Normandie,3
76.0,202300002320,2023,Normandie,4
76.0,202300002322,2023,Normandie,4
76.0,202300002322,2023,Normandie,1
76.0,202300002322,2023,Normandie,1
76.0,202300002323,2023,Normandie,4
76.0,202300002325,2023,Normandie,4
76.0,202300002327,2023,Normandie,1
76.0,202300002327,2023,Normandie,4
76.0,202300002329,2023,Normandie,3
76.0,202300002329,2023,Normandie,1
76.0,202300002329,2023,Normandie,1
76.0,202300002331,2023,Normandie,4
76.0,202300002331,2023,Normandie,1
76.0,202300002555,2023,Normandie,4
76.0,202300002555,2023,Normandie,1
76.0,202300002831,2023,Normandie,3
76.0,202300002831,2023,Normandie,1
76.0,202300002831,2023,Normandie,1
76.0,202300002831,2023,Normandie,4
76.0,202300002854,2023,Normandie,3
76.0,202300002854,2023,Normandie,4
76.0,202300002854,2023,Normandie,1
76.0,202300002891,2023,Normandie,3
76.0,202300002891,2023,Normandie,1
76.0,202300002891,2023,Normandie,4
76.0,202300003282,2023,Normandie,1
76.0,202300003282,2023,Normandie,4
76.0,202300003376,2023,Normandie,1
76.0,202300003376,2023,Normandie,1
76.0,202300003376,2023,Normandie,3
76.0,202300003376,2023,Normandie,4
76.0,202300003376,2023,Normandie,4
76.0,202300003376,2023,Normandie,1
76.0,202300003376,2023,Normandie,4
76.0,202300003426,2023,Normandie,1
76.0,202300003426,2023,Normandie,3
76.0,202300003428,2023,Normandie,1
76.0,202300003428,2023,Normandie,4
76.0,202300003430,2023,Normandie,3
76.0,202300003430,2023,Normandie,1
76.0,202300003432,2023,Normandie,4
76.0,202300003432,2023,Normandie,1
76.0,202300003502,2023,Normandie,4
76.0,202300003502,2023,Normandie,1
76.0,202300003503,2023,Normandie,3
76.0,202300003615,2023,Normandie,1
76.0,202300003615,2023,Normandie,4
76.0,202300003773,2023,Normandie,1
76.0,202300003773,2023,Normandie,3
76.0,202300003773,2023,Normandie,3
76.0,202300003817,2023,Normandie,1
76.0,202300003817,2023,Normandie,3
76.0,202300003820,2023,Normandie,4
76.0,202300003820,2023,Normandie,1
76.0,202300003991,2023,Normandie,3
76.0,202300004094,2023,Normandie,1
76.0,202300004094,2023,Normandie,3
76.0,202300004096,2023,Normandie,4
76.0,202300004096,2023,Normandie,4
76.0,202300004099,2023,Normandie,4
76.0,202300004099,2023,Normandie,1
76.0,202300004099,2023,Normandie,1
76.0,202300004100,2023,Normandie,4
76.0,202300004103,2023,Normandie,4
76.0,202300004103,2023,Normandie,1
76.0,202300004188,2023,Normandie,3
