dep,Num_Acc,an,regionName,grav
34.0,202300000049,2023,Occitanie,2
66.0,202300000055,2023,Occitanie,2
80.0,202300000067,2023,Nord-Pas-de-Calais-Picardie,2
63.0,202300000114,2023,Auvergne-Rhône-Alpes,2
61.0,202300000116,2023,Normandie,2
44.0,202300000124,2023,Pays de la Loire,2
26.0,202300000130,2023,Auvergne-Rhône-Alpes,2
16.0,202300000136,2023,Nouvelle-Aquitaine,2
16.0,202300000136,2023,Nouvelle-Aquitaine,2
66.0,202300000164,2023,Occitanie,2
21.0,202300000276,2023,Bourgogne-Franche-Comté,2
56.0,202300000303,2023,Bretagne,2
4.0,202300000346,2023,Provence-Alpes-Côte d'Azur,2
30.0,202300000352,2023,Occitanie,2
33.0,202300000362,2023,Nouvelle-Aquitaine,2
33.0,202300000362,2023,Nouvelle-Aquitaine,2
75.0,202300000369,2023,Ile-de-France,2
33.0,202300000386,2023,Nouvelle-Aquitaine,2
56.0,202300000387,2023,Bretagne,2
22.0,202300000389,2023,Bretagne,2
59.0,202300000391,2023,Nord-Pas-de-Calais-Picardie,2
44.0,202300000394,2023,Pays de la Loire,2
82.0,202300000396,2023,Occitanie,2
38.0,202300000398,2023,Auvergne-Rhône-Alpes,2
64.0,202300000400,2023,Nouvelle-Aquitaine,2
78.0,202300000402,2023,Ile-de-France,2
10.0,202300000404,2023,Grand-Est,2
49.0,202300000406,2023,Pays de la Loire,2
52.0,202300000415,2023,Grand-Est,2
1.0,202300000417,2023,Auvergne-Rhône-Alpes,2
41.0,202300000427,2023,Centre-Val de Loire,2
59.0,202300000431,2023,Nord-Pas-de-Calais-Picardie,2
30.0,202300000433,2023,Occitanie,2
84.0,202300000437,2023,Provence-Alpes-Côte d'Azur,2
47.0,202300000440,2023,Nouvelle-Aquitaine,2
91.0,202300000449,2023,Ile-de-France,2
91.0,202300000449,2023,Ile-de-France,2
77.0,202300000468,2023,Ile-de-France,2
76.0,202300000470,2023,Normandie,2
78.0,202300000513,2023,Ile-de-France,2
78.0,202300000515,2023,Ile-de-France,2
44.0,202300000561,2023,Pays de la Loire,2
30.0,202300000581,2023,Occitanie,2
13.0,202300000601,2023,Provence-Alpes-Côte d'Azur,2
26.0,202300000605,2023,Auvergne-Rhône-Alpes,2
25.0,202300000682,2023,Bourgogne-Franche-Comté,2
12.0,202300000685,2023,Occitanie,2
12.0,202300000685,2023,Occitanie,2
62.0,202300000688,2023,Nord-Pas-de-Calais-Picardie,2
22.0,202300000707,2023,Bretagne,2
13.0,202300000712,2023,Provence-Alpes-Côte d'Azur,2
47.0,202300000741,2023,Nouvelle-Aquitaine,2
82.0,202300000747,2023,Occitanie,2
29.0,202300000755,2023,Bretagne,2
26.0,202300000758,2023,Auvergne-Rhône-Alpes,2
6.0,202300000760,2023,Provence-Alpes-Côte d'Azur,2
30.0,202300000777,2023,Occitanie,2
34.0,202300000779,2023,Occitanie,2
75.0,202300000788,2023,Ile-de-France,2
71.0,202300000807,2023,Bourgogne-Franche-Comté,2
73.0,202300000810,2023,Auvergne-Rhône-Alpes,2
81.0,202300000818,2023,Occitanie,2
33.0,202300000827,2023,Nouvelle-Aquitaine,2
68.0,202300000844,2023,Grand-Est,2
50.0,202300000859,2023,Normandie,2
64.0,202300000863,2023,Nouvelle-Aquitaine,2
64.0,202300000866,2023,Nouvelle-Aquitaine,2
18.0,202300000869,2023,Centre-Val de Loire,2
22.0,202300000878,2023,Bretagne,2
33.0,202300000892,2023,Nouvelle-Aquitaine,2
34.0,202300000915,2023,Occitanie,2
11.0,202300000928,2023,Occitanie,2
13.0,202300000931,2023,Provence-Alpes-Côte d'Azur,2
13.0,202300000931,2023,Provence-Alpes-Côte d'Azur,2
35.0,202300000932,2023,Bretagne,2
72.0,202300000942,2023,Pays de la Loire,2
10.0,202300000955,2023,Grand-Est,2
45.0,202300001002,2023,Centre-Val de Loire,2
52.0,202300001006,2023,Grand-Est,2
26.0,202300001008,2023,Auvergne-Rhône-Alpes,2
60.0,202300001034,2023,Nord-Pas-de-Calais-Picardie,2
90.0,202300001035,2023,Bourgogne-Franche-Comté,2
74.0,202300001061,2023,Auvergne-Rhône-Alpes,2
74.0,202300001061,2023,Auvergne-Rhône-Alpes,2
22.0,202300001114,2023,Bretagne,2
67.0,202300001176,2023,Grand-Est,2
70.0,202300001237,2023,Bourgogne-Franche-Comté,2
33.0,202300001239,2023,Nouvelle-Aquitaine,2
59.0,202300001284,2023,Nord-Pas-de-Calais-Picardie,2
59.0,202300001284,2023,Nord-Pas-de-Calais-Picardie,2
93.0,202300001315,2023,Ile-de-France,2
28.0,202300001381,2023,Centre-Val de Loire,2
29.0,202300001392,2023,Bretagne,2
13.0,202300001427,2023,Provence-Alpes-Côte d'Azur,2
7.0,202300001441,2023,Auvergne-Rhône-Alpes,2
24.0,202300001447,2023,Nouvelle-Aquitaine,2
13.0,202300001483,2023,Provence-Alpes-Côte d'Azur,2
74.0,202300001508,2023,Auvergne-Rhône-Alpes,2
38.0,202300001583,2023,Auvergne-Rhône-Alpes,2
93.0,202300001594,2023,Ile-de-France,2
77.0,202300001615,2023,Ile-de-France,2
62.0,202300001621,2023,Nord-Pas-de-Calais-Picardie,2
62.0,202300001623,2023,Nord-Pas-de-Calais-Picardie,2
25.0,202300001630,2023,Bourgogne-Franche-Comté,2
25.0,202300001631,2023,Bourgogne-Franche-Comté,2
59.0,202300001633,2023,Nord-Pas-de-Calais-Picardie,2
18.0,202300001642,2023,Centre-Val de Loire,2
18.0,202300001642,2023,Centre-Val de Loire,2
18.0,202300001642,2023,Centre-Val de Loire,2
18.0,202300001643,2023,Centre-Val de Loire,2
47.0,202300001666,2023,Nouvelle-Aquitaine,2
55.0,202300001688,2023,Grand-Est,2
26.0,202300001702,2023,Auvergne-Rhône-Alpes,2
14.0,202300001703,2023,Normandie,2
16.0,202300001709,2023,Nouvelle-Aquitaine,2
33.0,202300001754,2023,Nouvelle-Aquitaine,2
59.0,202300001762,2023,Nord-Pas-de-Calais-Picardie,2
74.0,202300001765,2023,Auvergne-Rhône-Alpes,2
74.0,202300001767,2023,Auvergne-Rhône-Alpes,2
69.0,202300001794,2023,Auvergne-Rhône-Alpes,2
11.0,202300001891,2023,Occitanie,2
83.0,202300001895,2023,Provence-Alpes-Côte d'Azur,2
54.0,202300001906,2023,Grand-Est,2
93.0,202300001919,2023,Ile-de-France,2
71.0,202300001931,2023,Bourgogne-Franche-Comté,2
39.0,202300001947,2023,Bourgogne-Franche-Comté,2
89.0,202300001953,2023,Bourgogne-Franche-Comté,2
29.0,202300001961,2023,Bretagne,2
29.0,202300001962,2023,Bretagne,2
58.0,202300001967,2023,Bourgogne-Franche-Comté,2
21.0,202300001988,2023,Bourgogne-Franche-Comté,2
33.0,202300001997,2023,Nouvelle-Aquitaine,2
77.0,202300002019,2023,Ile-de-France,2
6.0,202300002040,2023,Provence-Alpes-Côte d'Azur,2
63.0,202300002091,2023,Auvergne-Rhône-Alpes,2
38.0,202300002097,2023,Auvergne-Rhône-Alpes,2
20.0,202300002107,2023,Corse,2
20.0,202300002107,2023,Corse,2
42.0,202300002115,2023,Auvergne-Rhône-Alpes,2
40.0,202300002151,2023,Nouvelle-Aquitaine,2
79.0,202300002174,2023,Nouvelle-Aquitaine,2
44.0,202300002186,2023,Pays de la Loire,2
10.0,202300002197,2023,Grand-Est,2
7.0,202300002202,2023,Auvergne-Rhône-Alpes,2
23.0,202300002205,2023,Nouvelle-Aquitaine,2
86.0,202300002216,2023,Nouvelle-Aquitaine,2
81.0,202300002234,2023,Occitanie,2
59.0,202300002238,2023,Nord-Pas-de-Calais-Picardie,2
39.0,202300002245,2023,Bourgogne-Franche-Comté,2
25.0,202300002247,2023,Bourgogne-Franche-Comté,2
50.0,202300002253,2023,Normandie,2
7.0,202300002261,2023,Auvergne-Rhône-Alpes,2
21.0,202300002266,2023,Bourgogne-Franche-Comté,2
73.0,202300002297,2023,Auvergne-Rhône-Alpes,2
85.0,202300002301,2023,Pays de la Loire,2
62.0,202300002355,2023,Nord-Pas-de-Calais-Picardie,2
62.0,202300002357,2023,Nord-Pas-de-Calais-Picardie,2
69.0,202300002378,2023,Auvergne-Rhône-Alpes,2
24.0,202300002415,2023,Nouvelle-Aquitaine,2
22.0,202300002421,2023,Bretagne,2
22.0,202300002423,2023,Bretagne,2
19.0,202300002427,2023,Nouvelle-Aquitaine,2
18.0,202300002433,2023,Centre-Val de Loire,2
45.0,202300002444,2023,Centre-Val de Loire,2
75.0,202300002450,2023,Ile-de-France,2
48.0,202300002471,2023,Occitanie,2
28.0,202300002546,2023,Centre-Val de Loire,2
27.0,202300002549,2023,Normandie,2
29.0,202300002565,2023,Bretagne,2
58.0,202300002577,2023,Bourgogne-Franche-Comté,2
72.0,202300002582,2023,Pays de la Loire,2
13.0,202300002594,2023,Provence-Alpes-Côte d'Azur,2
61.0,202300002595,2023,Normandie,2
13.0,202300002596,2023,Provence-Alpes-Côte d'Azur,2
74.0,202300002656,2023,Auvergne-Rhône-Alpes,2
57.0,202300002684,2023,Grand-Est,2
13.0,202300002697,2023,Provence-Alpes-Côte d'Azur,2
9.0,202300002747,2023,Occitanie,2
66.0,202300002749,2023,Occitanie,2
74.0,202300002802,2023,Auvergne-Rhône-Alpes,2
22.0,202300002832,2023,Bretagne,2
85.0,202300002901,2023,Pays de la Loire,2
65.0,202300002903,2023,Occitanie,2
38.0,202300002914,2023,Auvergne-Rhône-Alpes,2
31.0,202300002925,2023,Occitanie,2
82.0,202300002934,2023,Occitanie,2
29.0,202300002977,2023,Bretagne,2
18.0,202300002982,2023,Centre-Val de Loire,2
36.0,202300002987,2023,Centre-Val de Loire,2
91.0,202300002993,2023,Ile-de-France,2
37.0,202300003016,2023,Centre-Val de Loire,2
66.0,202300003032,2023,Occitanie,2
49.0,202300003085,2023,Pays de la Loire,2
22.0,202300003104,2023,Bretagne,2
39.0,202300003129,2023,Bourgogne-Franche-Comté,2
93.0,202300003142,2023,Ile-de-France,2
83.0,202300003198,2023,Provence-Alpes-Côte d'Azur,2
77.0,202300003203,2023,Ile-de-France,2
69.0,202300003285,2023,Auvergne-Rhône-Alpes,2
22.0,202300003333,2023,Bretagne,2
6.0,202300003353,2023,Provence-Alpes-Côte d'Azur,2
50.0,202300003366,2023,Normandie,2
77.0,202300003372,2023,Ile-de-France,2
77.0,202300003419,2023,Ile-de-France,2
50.0,202300003421,2023,Normandie,2
87.0,202300003425,2023,Nouvelle-Aquitaine,2
68.0,202300003440,2023,Grand-Est,2
25.0,202300003513,2023,Bourgogne-Franche-Comté,2
56.0,202300003613,2023,Bretagne,2
32.0,202300003619,2023,Occitanie,2
42.0,202300003624,2023,Auvergne-Rhône-Alpes,2
29.0,202300003632,2023,Bretagne,2
29.0,202300003632,2023,Bretagne,2
26.0,202300003633,2023,Auvergne-Rhône-Alpes,2
83.0,202300003636,2023,Provence-Alpes-Côte d'Azur,2
66.0,202300003647,2023,Occitanie,2
22.0,202300003653,2023,Bretagne,2
30.0,202300003657,2023,Occitanie,2
49.0,202300003663,2023,Pays de la Loire,2
30.0,202300003714,2023,Occitanie,2
13.0,202300003763,2023,Provence-Alpes-Côte d'Azur,2
93.0,202300003823,2023,Ile-de-France,2
21.0,202300003865,2023,Bourgogne-Franche-Comté,2
14.0,202300003866,2023,Normandie,2
14.0,202300003866,2023,Normandie,2
14.0,202300003873,2023,Normandie,2
63.0,202300003881,2023,Auvergne-Rhône-Alpes,2
65.0,202300003929,2023,Occitanie,2
26.0,202300003940,2023,Auvergne-Rhône-Alpes,2
26.0,202300003993,2023,Auvergne-Rhône-Alpes,2
91.0,202300004000,2023,Ile-de-France,2
80.0,202300004008,2023,Nord-Pas-de-Calais-Picardie,2
53.0,202300004057,2023,Pays de la Loire,2
60.0,202300004060,2023,Nord-Pas-de-Calais-Picardie,2
42.0,202300004081,2023,Auvergne-Rhône-Alpes,2
36.0,202300004113,2023,Centre-Val de Loire,2
17.0,202300004118,2023,Nouvelle-Aquitaine,2
86.0,202300004121,2023,Nouvelle-Aquitaine,2
85.0,202300004143,2023,Pays de la Loire,2
63.0,202300004192,2023,Auvergne-Rhône-Alpes,2
95.0,202300004282,2023,Ile-de-France,2
29.0,202300004299,2023,Bretagne,2
84.0,202300004338,2023,Provence-Alpes-Côte d'Azur,2
34.0,202300004402,2023,Occitanie,2
37.0,202300004405,2023,Centre-Val de Loire,2
62.0,202300004414,2023,Nord-Pas-de-Calais-Picardie,2
44.0,202300004487,2023,Pays de la Loire,2
90.0,202300004530,2023,Bourgogne-Franche-Comté,2
62.0,202300004541,2023,Nord-Pas-de-Calais-Picardie,2
95.0,202300004559,2023,Ile-de-France,2
16.0,202300004560,2023,Nouvelle-Aquitaine,2
60.0,202300004561,2023,Nord-Pas-de-Calais-Picardie,2
11.0,202300004568,2023,Occitanie,2
23.0,202300004569,2023,Nouvelle-Aquitaine,2
33.0,202300004585,2023,Nouvelle-Aquitaine,2
78.0,202300004597,2023,Ile-de-France,2
44.0,202300004599,2023,Pays de la Loire,2
19.0,202300004635,2023,Nouvelle-Aquitaine,2
74.0,202300004702,2023,Auvergne-Rhône-Alpes,2
74.0,202300004745,2023,Auvergne-Rhône-Alpes,2
74.0,202300004759,2023,Auvergne-Rhône-Alpes,2
91.0,202300004775,2023,Ile-de-France,2
13.0,202300004789,2023,Provence-Alpes-Côte d'Azur,2
86.0,202300004824,2023,Nouvelle-Aquitaine,2
60.0,202300004839,2023,Nord-Pas-de-Calais-Picardie,2
80.0,202300004857,2023,Nord-Pas-de-Calais-Picardie,2
74.0,202300004859,2023,Auvergne-Rhône-Alpes,2
50.0,202300004892,2023,Normandie,2
30.0,202300004910,2023,Occitanie,2
30.0,202300004910,2023,Occitanie,2
30.0,202300004910,2023,Occitanie,2
27.0,202300004943,2023,Normandie,2
12.0,202300004946,2023,Occitanie,2
17.0,202300004952,2023,Nouvelle-Aquitaine,2
63.0,202300004960,2023,Auvergne-Rhône-Alpes,2
38.0,202300004964,2023,Auvergne-Rhône-Alpes,2
53.0,202300004970,2023,Pays de la Loire,2
35.0,202300004972,2023,Bretagne,2
74.0,202300005063,2023,Auvergne-Rhône-Alpes,2
36.0,202300005125,2023,Centre-Val de Loire,2
38.0,202300005128,2023,Auvergne-Rhône-Alpes,2
6.0,202300005155,2023,Provence-Alpes-Côte d'Azur,2
85.0,202300005165,2023,Pays de la Loire,2
80.0,202300005192,2023,Nord-Pas-de-Calais-Picardie,2
80.0,202300005192,2023,Nord-Pas-de-Calais-Picardie,2
55.0,202300005203,2023,Grand-Est,2
69.0,202300005205,2023,Auvergne-Rhône-Alpes,2
59.0,202300005219,2023,Nord-Pas-de-Calais-Picardie,2
34.0,202300005222,2023,Occitanie,2
95.0,202300005240,2023,Ile-de-France,2
13.0,202300005260,2023,Provence-Alpes-Côte d'Azur,2
69.0,202300005286,2023,Auvergne-Rhône-Alpes,2
83.0,202300005318,2023,Provence-Alpes-Côte d'Azur,2
59.0,202300005361,2023,Nord-Pas-de-Calais-Picardie,2
57.0,202300005364,2023,Grand-Est,2
49.0,202300005386,2023,Pays de la Loire,2
43.0,202300005394,2023,Auvergne-Rhône-Alpes,2
37.0,202300005409,2023,Centre-Val de Loire,2
33.0,202300005423,2023,Nouvelle-Aquitaine,2
31.0,202300005438,2023,Occitanie,2
63.0,202300005510,2023,Auvergne-Rhône-Alpes,2
85.0,202300005544,2023,Pays de la Loire,2
90.0,202300005561,2023,Bourgogne-Franche-Comté,2
27.0,202300005564,2023,Normandie,2
17.0,202300005570,2023,Nouvelle-Aquitaine,2
17.0,202300005570,2023,Nouvelle-Aquitaine,2
82.0,202300005614,2023,Occitanie,2
40.0,202300005618,2023,Nouvelle-Aquitaine,2
18.0,202300005639,2023,Centre-Val de Loire,2
6.0,202300005649,2023,Provence-Alpes-Côte d'Azur,2
94.0,202300005667,2023,Ile-de-France,2
48.0,202300005692,2023,Occitanie,2
61.0,202300005704,2023,Normandie,2
24.0,202300005715,2023,Nouvelle-Aquitaine,2
31.0,202300005717,2023,Occitanie,2
19.0,202300005730,2023,Nouvelle-Aquitaine,2
74.0,202300005769,2023,Auvergne-Rhône-Alpes,2
73.0,202300005816,2023,Auvergne-Rhône-Alpes,2
73.0,202300005817,2023,Auvergne-Rhône-Alpes,2
31.0,202300005849,2023,Occitanie,2
31.0,202300005849,2023,Occitanie,2
31.0,202300005849,2023,Occitanie,2
60.0,202300005869,2023,Nord-Pas-de-Calais-Picardie,2
75.0,202300005874,2023,Ile-de-France,2
36.0,202300005875,2023,Centre-Val de Loire,2
75.0,202300005876,2023,Ile-de-France,2
