,Num_Acc,long,an,lat
0,202300000110,1.00347,2023,49.28606
3,202300000214,0.1569,2023,49.5091
5,202300000267,1.09471,2023,49.39615
7,202300000269,0.11561,2023,49.49754
9,202300000271,0.17188,2023,49.50123
12,202300000420,0.11003,2023,49.5196
14,202300000469,1.09606,2023,49.42704
16,202300000470,0.19927,2023,49.51058
20,202300000518,1.10583,2023,49.43483
23,202300000539,0.199883,2023,49.50484
25,202300000830,1.170559,2023,49.599613
28,202300000831,1.450109,2023,49.636078
32,202300000899,1.136232,2023,49.522179
34,202300000953,0.735784,2023,49.524359
36,202300000990,0.11769,2023,49.49271
38,202300000994,0.17146,2023,49.50004
40,202300001064,1.10445,2023,49.44299
42,202300001069,0.12961,2023,49.49999
44,202300001073,0.09751,2023,49.49017
46,202300001077,0.13129,2023,49.4852
48,202300001391,1.720165,2023,49.483785
50,202300001396,1.719049,2023,49.474897
52,202300001532,1.07875,2023,49.43236
54,202300001534,1.09438,2023,49.41564
56,202300001617,0.14793,2023,49.50373
58,202300001925,1.005502,2023,49.458749
60,202300002106,1.179928,2023,49.655752
62,202300002169,0.26947975,2023,49.59267763
64,202300002172,1.165484,2023,49.671804
68,202300002322,0.17078,2023,49.50003
73,202300002327,0.18567,2023,49.53626
75,202300002329,0.16069,2023,49.51522
78,202300002331,1.140494,2023,49.882002
80,202300002555,1.628294,2023,49.932109
82,202300002831,1.177554,2023,49.504701
86,202300002854,0.230477,2023,49.527604
89,202300002891,1.076113,2023,49.779407
92,202300003282,1.12275,2023,49.45648
94,202300003376,1.0136075,2023,49.88783564
101,202300003426,1.14768,2023,49.43793
103,202300003428,0.13237,2023,49.49214
105,202300003430,0.10399,2023,49.49118
107,202300003432,0.13621,2023,49.4976
109,202300003502,1.09732,2023,49.44003
112,202300003615,0.262443,2023,49.648851
114,202300003773,1.145518,2023,49.349524
117,202300003817,1.08437,2023,49.45807
119,202300003820,0.19989932,2023,49.50484986
122,202300004094,1.03512,2023,49.45
124,202300004096,1.00151,2023,49.34672
126,202300004099,1.10084,2023,49.44029
130,202300004103,0.21188,2023,49.54054
132,202300004188,1.089938,2023,49.446496
134,202300004230,1.0475,2023,49.412
136,202300004248,1.06902,2023,49.45193
138,202300004253,1.1117,2023,49.3956
143,202300004374,1.10766,2023,49.43327
151,202300004457,1.244845,2023,49.729057
155,202300004830,1.04867908,2023,49.41311762
157,202300004833,1.06535,2023,49.44502
159,202300004838,1.0717,2023,49.4122
161,202300004843,0.146769,2023,49.496234
163,202300004846,0.14843,2023,49.50578
165,202300004851,0.727297,2023,49.844051
168,202300004890,0.581803,2023,49.524804
171,202300005330,1.1071,2023,49.45595
176,202300005332,0.18137,2023,49.53016
178,202300005333,0.124281,2023,49.492784
180,202300005334,1.09436,2023,49.91525
183,202300005579,1.01053,2023,49.42908
189,202300005582,1.08776,2023,49.43455
192,202300005589,0.1384,2023,49.5081
195,202300005592,1.07685,2023,49.92201
197,202300005628,1.07201242,2023,49.44410107
199,202300005696,1.147594,2023,49.770667
201,202300005716,0.271955,2023,49.455516
203,202300005768,1.14633,2023,49.43524
205,202300005815,1.06461,2023,49.42716
207,202300005848,1.052842,2023,49.769212
209,202300005892,0.938864,2023,49.340654
211,202300005996,0.158963,2023,49.507921
215,202300005998,0.193413,2023,49.50162
220,202300006000,0.4751,2023,49.56877
224,202300006176,0.762423,2023,49.628045
227,202300006325,1.096,2023,49.346607
229,202300006347,1.13549,2023,49.46076
231,202300006352,1.09977,2023,49.4526
234,202300006357,0.16248,2023,49.50047
236,202300006362,0.09783,2023,49.51712
238,202300006367,0.12111,2023,49.49123
241,202300006376,0.15077,2023,49.49707
245,202300006383,0.18912,2023,49.5327
248,202300006388,0.13901,2023,49.49354
250,202300006391,0.15802,2023,49.50223
253,202300006453,1.065985,2023,49.341237
255,202300006991,1.03934,2023,49.50857
258,202300007292,1.740174,2023,49.478665
260,202300007293,1.387689,2023,49.588069
262,202300007294,1.110276,2023,49.543063
264,202300007495,1.06861,2023,49.42573
266,202300007496,1.04945,2023,49.38409
269,202300007636,1.067594,2023,49.429874
271,202300007637,1.06783,2023,49.8823
273,202300007775,1.11294,2023,49.47877
276,202300007776,0.17239,2023,49.50254
280,202300008011,0.676335,2023,49.596306
282,202300008149,0.78907907,2023,49.62521438
290,202300008634,0.18896,2023,49.54715
292,202300008641,0.10355,2023,49.48999
294,202300008653,1.09905,2023,49.75136
298,202300008735,0.195705,2023,49.547029
301,202300009032,0.376,2023,49.756
